time,C_vaccine_Ninj3,C_vaccine_Ninj2,C_vaccine_Ninj1
3.26,51.56072,77.51701,1346.3309
3.265,51.547832,77.497635,1345.9944
3.27,51.534946,77.478264,1345.658
3.275,51.52206,77.45889,1345.3215
3.28,51.509182,77.43953,1344.9852
3.285,51.496307,77.42017,1344.649
3.29,51.483437,77.40082,1344.313
3.295,51.470566,77.38147,1343.9768
3.3000000000000003,51.457703,77.36213,1343.641
3.305,51.44484,77.34279,1343.305
3.31,51.43198,77.323456,1342.9694
3.315,51.41912,77.30413,1342.6337
3.3200000000000003,51.40627,77.284805,1342.298
3.325,51.393417,77.26549,1341.9624
3.33,51.380573,77.24618,1341.6271
3.335,51.367725,77.22686,1341.2916
3.34,51.35489,77.207565,1340.9564
3.345,51.342052,77.18826,1340.6212
3.35,51.329216,77.16897,1340.286
3.355,51.316387,77.14967,1339.951
3.36,51.30356,77.130394,1339.6161
3.365,51.290737,77.111115,1339.2812
3.37,51.277912,77.091835,1338.9464
3.375,51.265095,77.07256,1338.6118
3.38,51.25228,77.0533,1338.2771
3.385,51.23947,77.03404,1337.9426
3.39,51.22666,77.014786,1337.6082
3.395,51.213856,76.99553,1337.2738
3.4,51.201054,76.97629,1336.9396
3.405,51.188255,76.95705,1336.6053
3.41,51.175457,76.937805,1336.2712
3.415,51.162666,76.91857,1335.9371
3.42,51.14988,76.89935,1335.6033
3.4250000000000003,51.137093,76.88013,1335.2694
